"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"38","KIAA1462","rs2478831",-0.607,0,0,0,0,0,-0.7885,-2.0057,0.8325,-1.0029,1.3816
"39","PRKCQ-AS1","rs4748198",0.6405,0,0,0,0,0,-0.7884,-1.9566,0.8667,-0.9613,1.3093
"40","DCLRE1CP1","rs41405548",0.914,0,0,0,0,0,-0.8725,-1.9747,0.8784,-0.9701,1.3153
"41","RP11-482E14.2","rs17226417",0.6451,0,0,0,0,0,-0.767,-1.9571,0.8787,-1.0003,1.3053
"42","AL512640.1","rs11238956",0.8358,0,0,0,0,0,-0.8198,-2.0083,0.8571,-0.9927,1.3452
"43","RP11-478B11.2","rs4372368",0.6301,0,0,0,0,0,-0.8156,-1.9771,0.8551,-0.9971,1.3272
"44","WDFY4","rs10776644",0.7196,0,0,0,0,0,-0.8134,-2.0329,0.8711,-1.0146,1.322
"45","MPP7","rs12411923",0.6734,0,0,0,0,0,-0.7856,-1.9394,0.8875,-1.0054,1.3138
"46","FRMD4A","rs2446588",0,0.87,0,0,0,0,-0.8184,-2.0325,0.8993,-0.9968,1.345
"47","PRKCQ-AS1","rs10904615",0.6319,0,0,0,0,0,-0.8172,-2,0.8744,-0.9972,1.3462
"48","FAM107B","rs1031666",-0.7114,0,0,0,0,0,-0.8099,-1.9772,0.9099,-0.9679,1.354
"49","LINC00837","rs3740000",1.0173,0,0,0,0,0,-0.7649,-1.9985,0.9213,-1.0113,1.3371
"50","FRMD4A","rs998150",-0.8956,0,0,0,0,0,-0.8037,-1.9938,0.8232,-1.0344,1.3379
"51","DIP2C","rs3922851",0.6652,0,0,0,0,0,-0.8457,-1.978,0.8353,-0.9985,1.3286
"52","RP11-309N24.1","rs10508827",0,0,0,0.6423,0,0,-0.8106,-2.001,0.863,-0.9743,1.3221
"53","NAMPTL","rs3006958",0.7597,0,0,0,0,0,-0.8064,-1.9743,0.8541,-0.9627,1.3071
"54","ZMYND11","rs2448366",-0.6325,0,0,0,0,0,-0.8255,-2.0049,0.9063,-0.985,1.3466
"55","CAMK1D","rs7921813",0,0.8587,0,0,0,0,-0.8235,-2.0083,0.8593,-0.9915,1.3678
"56","RP11-492M23.2","rs2804551",0.5034,0,0,0,0,0,-0.7752,-2.0248,0.8679,-0.9717,1.3164
"57","GAPDHP45","rs7099479",0.8394,0,0,0,0,0,-0.7851,-1.9686,0.901,-0.9418,1.3326
"58","FAM107B","rs1555986",-0.7523,0,0,0,0,0,-0.8065,-1.9749,0.865,-0.9797,1.3617
"59","PRTFDC1","rs4748991",-0.6828,0,0,0,0,0,-0.8069,-1.9608,0.8818,-0.9887,1.3693
"60","CAMK1D","rs11257932",0,0.832,0,0,0,0,-0.7424,-1.9918,0.8726,-1.0084,1.3298
"61","DIP2C","rs11252791",-0.6611,0,0,0,0,0,-0.7696,-1.9809,0.8674,-1.0188,1.3262
"62","FRMD4A","rs7897984",-0.6351,0,0,0,0,0,-0.846,-2.0046,0.8438,-0.9304,1.3208
"63","SNRPEP8","rs11003405",0,-0.5935,0,0,0,0,-0.7401,-1.9793,0.8856,-0.9377,1.3376
"64","FAM171A1","rs11597485",0,0,-0.9019,0,0,0,-0.7915,-2.0312,0.9143,-0.983,1.3456
"65","FAM107B","rs4748109",-0.8028,0,0,0,0,0,-0.7923,-1.95,0.901,-0.9423,1.3414
"66","LUZP4P1","rs16921721",0.6592,0,0,0,0,0,-0.8175,-2.0161,0.8734,-0.9307,1.3199
"67","FRMD4A","rs4750521",-0.6735,0,0,0,0,0,-0.8331,-1.9752,0.8794,-0.9993,1.366
"68","UBE2V2P1","rs10826899",0,0,0,0,-0.915,0,-0.8104,-2.015,0.8378,-1.0078,1.327
"69","FRMD4A","rs11259126",-0.7117,0,0,0,0,0,-0.8023,-1.9438,0.862,-0.9606,1.3203
"70","RP11-490O24.2","rs546302",0.8637,0,0,0,0,0,-0.8807,-2.0212,0.8333,-1.0188,1.3313
"71","ZNF101P1","rs4595437",-0.7284,0,0,0,0,0,-0.8206,-1.9464,0.824,-0.9906,1.3104
"72","ZMYND11","rs11251372",-0.615,0,0,0,0,0,-0.8337,-2.01,0.9107,-0.9801,1.3604
"73","KIAA1462","rs11007904",0,0,0,1.0208,0,0,-0.7853,-2.0228,0.8377,-1.0101,1.3286
"74","RP11-275N1.1","rs2039028",0.6551,0,0,0,0,0,-0.7895,-1.9763,0.8496,-0.9828,1.3455
"75","CALML3","rs9423658",0.4234,0,0,0,0,0,-0.8357,-1.9922,0.8772,-0.9769,1.3093
"76","FRMD4A","rs4750522",-0.7287,0,0,0,0,0,-0.8099,-2.0026,0.8708,-0.965,1.3254
"77","DCLRE1CP1","rs6602809",0.9343,0,0,0,0,0,-0.8615,-1.9359,0.8343,-0.9573,1.3268
"78","MLLT10","rs7098100",0.5819,0,0,0,0,0,-0.817,-1.9855,0.8412,-0.9589,1.2943
"79","PCDH15","rs11004318",0,-0.7329,0,0,0,0,-0.8332,-2.0107,0.8678,-0.9853,1.3937
"80","PRTFDC1","rs11014290",-0.705,0,0,0,0,0,-0.7661,-1.9748,0.8782,-0.9958,1.3185
"81","FRMD4A","rs4750524",-0.7283,0,0,0,0,0,-0.8384,-1.9947,0.8689,-0.9993,1.3421
"82","THNSL1","rs923757",0,0,0,0,0,0.7514,-0.7507,-2.0512,0.8607,-0.9627,1.3514
"83","RP11-799O21.2","rs2804143",0.8651,0,0,0,0,0,-0.8154,-1.9614,0.9095,-0.9364,1.3937
"84","DCLRE1CP1","rs6602806",0.9885,0,0,0,0,0,-0.8408,-1.9561,0.8706,-0.9186,1.3187
"85","ACBD7","rs6602806",0.9885,0,0,0,0,0,-0.8408,-1.9561,0.8706,-0.9186,1.3187
"86","RP11-478B11.2","rs10825621",0,-0.8383,0,0,0,0,-0.8122,-2.0022,0.8564,-0.9935,1.3195
"87","CACNB2","rs7083373",0.8629,0,0,0,0,0,-0.8271,-2.0039,0.8888,-1.0181,1.3472
"88","SNORA40","rs7911626",0.6084,0,0,0,0,0,-0.7723,-1.9834,0.9123,-0.997,1.3296
