"","main","age","act","trans","chol","age","act","trans","chol"
"SNP_A-2029301",0.3673,0,0,0,0,-0.0992,-0.6141,0.2868,0.4499
"SNP_A-2002789",0.3592,0,0,0,0,-0.0908,-0.6066,0.2885,0.4476
"SNP_A-1785462",0,0,0,0,-0.3789,-0.0941,-0.6045,0.3107,0.4715
"SNP_A-1881069",0,0,0,0,-0.3539,-0.0693,-0.5893,0.2935,0.4645
"SNP_A-2088001",0,0,0,0,-0.3468,-0.1025,-0.5922,0.3171,0.451
"SNP_A-8615733",0,0,0,0,-0.3425,-0.0937,-0.5947,0.292,0.4707
"SNP_A-8631801",0,0.3315,0,0,0,-0.1049,-0.6116,0.2998,0.4791
"SNP_A-8696356",0,0.3641,0,0,0,-0.0867,-0.5849,0.2877,0.47
"SNP_A-1863656",0,0.3495,0,0,0,-0.1057,-0.6067,0.3007,0.4765
"SNP_A-8302758",0,0,0.3716,0,0,-0.09,-0.5751,0.2869,0.4999
"SNP_A-8593727",0,0,0.3621,0,0,-0.0806,-0.5788,0.2994,0.4647
"SNP_A-1917308",0.3541,0,0,0,0,-0.0997,-0.6005,0.2696,0.469
"SNP_A-2051603",0,0,0,0,0.3641,-0.0956,-0.591,0.2827,0.4733
"SNP_A-8602011",0,-0.3237,0,0,0,-0.1034,-0.6014,0.2889,0.481
"SNP_A-8567840",0.4135,0,0,0,0,-0.0923,-0.5752,0.2865,0.4858
"SNP_A-2063976",0.38,0,0,0,0,-0.089,-0.6051,0.2719,0.4526
"SNP_A-1866849",0,0,0,0,0.3802,-0.1129,-0.5759,0.2992,0.4819
"SNP_A-1895433",0,0,0,0.4013,0,-0.0887,-0.6107,0.28,0.5172
"SNP_A-8630334",0,0,0,0,-0.4139,-0.0958,-0.5881,0.2992,0.4382
"SNP_A-2231329",0,0,0,0,-0.3432,-0.1,-0.6009,0.2764,0.4715
"SNP_A-8591270",0,0,0,0,-0.3545,-0.0611,-0.6173,0.3194,0.4698
"SNP_A-1897392",0,0,0,0,-0.3752,-0.0855,-0.5971,0.2854,0.4832
"SNP_A-8633064",0,-0.3615,0,0,0,-0.0849,-0.5889,0.2851,0.4704
"SNP_A-2220728",0,0,0,0.3628,0,-0.0852,-0.5913,0.303,0.4781
"SNP_A-8511914",0,0,0,0,-0.3769,-0.0887,-0.5928,0.2821,0.4142
"SNP_A-1925290",0,0,0,0,0.3447,-0.0876,-0.5892,0.2799,0.5112
"SNP_A-4229992",0,0,0,0.3622,0,-0.1057,-0.6233,0.2889,0.478
"SNP_A-1848118",0,0,0,0.3693,0,-0.0995,-0.6058,0.3081,0.458
"SNP_A-2022867",0,0,0,-0.4093,0,-0.1032,-0.5765,0.2987,0.4575
"SNP_A-8414683",0.3646,0,0,0,0,-0.0867,-0.5792,0.3065,0.4754
"SNP_A-2223502",0.3879,0,0,0,0,-0.1066,-0.5717,0.2896,0.4812
"SNP_A-8508528",0.369,0,0,0,0,-0.0962,-0.5796,0.2888,0.4583
"SNP_A-8533839",0,0,0,0,-0.3865,-0.0888,-0.5804,0.2443,0.4454
"SNP_A-4296150",0,0,0,0,-0.3886,-0.0889,-0.6143,0.2769,0.4525
"SNP_A-8649097",0,0,0,0.3834,0,-0.0743,-0.5978,0.2791,0.4704
"SNP_A-4268854",0,0,0,0.3454,0,-0.0831,-0.6015,0.2849,0.4431
"SNP_A-8695418",0,0,0,0,0.392,-0.0608,-0.6131,0.3006,0.4596
"SNP_A-8582889",0,0,0,0,0.4316,-0.088,-0.6203,0.3021,0.4315
"SNP_A-1913307",0,0,0,0,-0.3981,-0.0817,-0.6007,0.3006,0.4692
"SNP_A-4285453",0,0,0,0,-0.3484,-0.0828,-0.594,0.2873,0.4505
"SNP_A-8334398",0,0,0,-0.3897,0,-0.0681,-0.6015,0.3316,0.4584
"SNP_A-2059986",0,0,0,0.372,0,-0.0818,-0.5951,0.308,0.4557
"SNP_A-2168316",-0.3609,0,0,0,0,-0.0969,-0.5705,0.2882,0.4762
"SNP_A-2301597",-0.3866,0,0,0,0,-0.0761,-0.5722,0.2846,0.4807
"SNP_A-1889558",-0.3614,0,0,0,0,-0.116,-0.5584,0.2843,0.4594
"SNP_A-8594510",0,0,-0.399,0,0,-0.0726,-0.5909,0.2871,0.4745
"SNP_A-2087010",0,0,0,-0.3608,0,-0.0783,-0.5892,0.303,0.4654
"SNP_A-8704523",0,0,0,-0.4099,0,-0.0934,-0.603,0.3261,0.4856
"SNP_A-2236836",0,0,0,-0.4033,0,-0.0957,-0.5929,0.3213,0.5037
"SNP_A-8398157",0,0,0,-0.4511,0,-0.076,-0.6039,0.3226,0.4567
"SNP_A-1870984",-0.3783,0,0,0,0,-0.1157,-0.5947,0.2848,0.4791
"SNP_A-8292763",0,0,0,0.3627,0,-0.1176,-0.568,0.3259,0.4756
"SNP_A-4252045",0,0,0,0,0.3477,-0.094,-0.5919,0.3017,0.4501
"SNP_A-8644957",0,0,0,0,-0.4115,-0.0603,-0.5751,0.2607,0.4755
