"","main","age","act","trans","chol","age","act","trans","chol"
"SNP_A-8298781",-0.0856,0,0,0,0,0.0416,-0.0368,0.0232,-0.1007
"SNP_A-2044928",0.0041,0,0,0,0,0.0205,-0.0585,-0.0775,0.0934
"SNP_A-1787956",0.0065,0,0,0,0,0.0944,-0.1022,0.0431,0.1001
"SNP_A-2207359",-0.0047,0,0,0,0,1e-04,-0.0709,-0.0423,-0.0558
"SNP_A-8452712",-0.0039,0,0,0,0,-0.0182,-0.0691,0.0768,0.0164
"SNP_A-4278894",0.0293,0,0,0,0,-0.0199,-0.013,-0.1231,-0.0532
"SNP_A-4227688",0.0764,0,0,0,0,-0.0116,-0.0538,-0.0391,-0.0284
"SNP_A-4277339",-0.043,0,0,0,0,-0.0355,-0.1549,0.0032,0.0303
"SNP_A-1786999",0.0555,0,0,0,0,0.0572,-0.0039,0.0537,-0.004
"SNP_A-2002196",-0.0277,0,0,0,0,0.0671,0.0323,0.0102,0.0479
"SNP_A-4268375",-0.0047,0,0,0,0,-0.0629,-0.1198,0.0224,-0.0746
"SNP_A-1822309",0.0252,0,0,0,0,0.0293,-0.1188,0.0462,-0.0501
"SNP_A-1867506",-0.0799,0,0,0,0,-0.0433,-0.043,0.0041,-0.0163
"SNP_A-4300425",0.0172,0,0,0,0,-0.0037,-0.0394,-0.1617,-0.0869
"SNP_A-1888920",0.079,0,0,0,0,-0.0188,-0.0816,0.0117,0.0343
"SNP_A-2002404",0.0326,0,0,0,0,-0.0583,-0.0854,0.0023,0.0349
"SNP_A-8528526",-0.1178,0,0,0,0,0.0352,-0.0178,0.0226,-0.0286
"SNP_A-8381513",-0.0636,0,0,0,0,0.0544,-0.0649,0.0446,-0.0761
"SNP_A-2117665",-0.0304,0,0,0,0,0.0133,-0.1006,0.0021,-0.0193
"SNP_A-4228411",0.005,0,0,0,0,0.0193,-0.1079,-0.0957,0.0273
"SNP_A-2029301",-0.0643,0,0,0,0,0.0278,-0.0088,0.0354,-0.0553
"SNP_A-2002789",-0.0486,0,0,0,0,-0.0859,-0.1056,0.0099,-0.0671
"SNP_A-8634382",-0.0361,0,0,0,0,0.01,-0.035,0.0352,-0.0203
"SNP_A-4214047",0.0153,0,0,0,0,-0.0033,-0.028,0.0294,-0.0253
"SNP_A-2003197",-0.0927,0,0,0,0,0.0862,-0.051,-0.0418,0.0636
"SNP_A-1861525",-0.0588,0,0,0,0,-0.0506,-0.0886,-0.065,0.0016
"SNP_A-8419211",-0.0366,0,0,0,0,0.0403,-0.1211,0.0112,-0.0557
"SNP_A-1917308",-0.0373,0,0,0,0,0.0317,-0.1723,0.0251,0.0094
"SNP_A-2098582",0.0596,0,0,0,0,-0.0866,-0.1205,-0.0091,0.0311
"SNP_A-2170603",-0.092,0,0,0,0,0.014,-0.0172,-0.0589,-0.0456
"SNP_A-4288519",-0.0313,0,0,0,0,0.0228,-0.0221,-0.1186,-0.0634
"SNP_A-8317622",-0.106,0,0,0,0,0.0799,-0.0175,0.0301,0.0601
"SNP_A-8602011",-0.0163,0,0,0,0,-0.0078,-0.0397,-0.0583,0.0011
"SNP_A-8567840",-0.0458,0,0,0,0,-0.0146,-0.0121,-0.0395,-0.0037
"SNP_A-2063976",-0.0281,0,0,0,0,0.0504,0.0094,-0.0289,0.0234
"SNP_A-1895770",-0.0219,0,0,0,0,0.0296,-0.0157,0.0506,-0.0469
"SNP_A-2302944",0.0223,0,0,0,0,0.052,-0.0588,-0.0336,-0.0525
"SNP_A-4222011",-0.0404,0,0,0,0,0.0376,0.014,-0.016,0.0379
"SNP_A-8631396",-0.0765,0,0,0,0,-0.0481,-0.0472,-0.0566,-0.0347
"SNP_A-2220728",0.0074,0,0,0,0,-0.0101,-0.141,0.0379,0.0088
"SNP_A-2185443",-0.0197,0,0,0,0,0.0268,-0.0294,0.0363,0.0028
"SNP_A-1937837",-0.031,0,0,0,0,-0.0198,-0.1095,0.0244,-0.0324
"SNP_A-1803670",-0.0528,0,0,0,0,0.0593,0.0479,0.0028,-0.0459
"SNP_A-1782748",-0.0522,0,0,0,0,0.0304,-0.0214,-0.0275,-0.0527
"SNP_A-1944276",-0.0031,0,0,0,0,-2e-04,-0.0107,-0.0323,0.0202
"SNP_A-8657241",-0.028,0,0,0,0,-0.0492,-0.0498,0.071,0.0545
"SNP_A-1834608",-0.0384,0,0,0,0,-0.0624,-0.1414,0.023,-0.0076
"SNP_A-8587878",-0.0179,0,0,0,0,-0.0086,-0.1082,-0.0146,-0.09
"SNP_A-8288875",0.0088,0,0,0,0,0.025,-0.0011,0.0247,0.0235
"SNP_A-1958715",-0.0325,0,0,0,0,0.0634,-0.1108,0.0186,0.0086
"AFFX-SNP_12676705",-0.103,0,0,0,0,-0.0131,-0.023,0.0218,-0.0097
"SNP_A-1784455",-0.0942,0,0,0,0,-0.0251,-0.041,0.0489,0.0949
"SNP_A-8288876",0.0722,0,0,0,0,0.1149,-0.0727,0.034,-0.0623
"SNP_A-8414683",-0.0296,0,0,0,0,-0.0191,-0.0635,-0.0014,-0.0028
"SNP_A-2223502",0.0436,0,0,0,0,0.0211,-0.1234,0.0947,-0.0789
"SNP_A-8612864",-0.0288,0,0,0,0,-0.0217,-0.0442,-0.0506,0.0154
"SNP_A-4239435",-0.0131,0,0,0,0,-0.046,-0.0447,-0.0079,0.0114
"SNP_A-4214428",0.0352,0,0,0,0,0.0246,0.0137,0.0274,-0.0586
"SNP_A-2141481",-0.0399,0,0,0,0,0.0041,-0.0794,-0.0287,0.0126
"SNP_A-1837923",0.0332,0,0,0,0,-0.0551,-0.0207,0.053,-0.0441
"SNP_A-1955717",-0.0594,0,0,0,0,-0.1029,-0.079,0.0152,0.0037
"SNP_A-8382586",0.0482,0,0,0,0,-0.0654,-0.0553,-0.1046,0.0307
"SNP_A-8626896",-0.0257,0,0,0,0,0.0346,-0.0569,0.0384,-0.1003
"SNP_A-2052814",-0.0565,0,0,0,0,-0.0109,-0.0451,-0.0052,0.0217
"SNP_A-1954687",-0.1079,0,0,0,0,0.0309,-0.0536,0.0369,0.0495
"SNP_A-8481190",-0.0358,0,0,0,0,0.0151,-0.0251,-0.0179,-0.0457
"SNP_A-8682541",0.0342,0,0,0,0,0.0025,-0.0474,0.0049,0.0819
"SNP_A-8536745",-0.0119,0,0,0,0,0.0206,-0.0567,-0.0651,0.0354
"SNP_A-2005544",-0.0041,0,0,0,0,-0.0032,-0.0573,0.0269,0.0399
"SNP_A-2148994",-0.0289,0,0,0,0,0.0899,-0.1112,-0.0582,-0.0093
"SNP_A-4244598",-0.0513,0,0,0,0,0.121,-0.1775,0.0042,0.0291
"SNP_A-4289296",0.0673,0,0,0,0,0.0412,-0.0071,-0.0376,-0.0562
"AFFX-SNP_7912310",0.0147,0,0,0,0,0.0056,-0.1409,-0.0147,-0.0123
"SNP_A-1912220",-0.0761,0,0,0,0,0.0159,-0.078,0.0954,-0.0658
"SNP_A-2232271",0.0172,0,0,0,0,0.013,-0.0504,0.0404,-0.0018
