"","main","age","act","trans","chol","age","act","trans","chol"
"SNP_A-4286159",0.2959,0,0,0,0,-0.0921,-0.5909,0.2673,0.4792
"SNP_A-4277339",-0.3392,0,0,0,0,-0.0997,-0.6049,0.2731,0.4619
"SNP_A-8450540",0.2647,0,0,0,0,-0.1023,-0.6223,0.2539,0.469
"SNP_A-2001225",0.2798,0,0,0,0,-0.0995,-0.5911,0.2788,0.4818
"SNP_A-1794521",0.2812,0,0,0,0,-0.075,-0.5738,0.2816,0.4801
"SNP_A-8402027",0,0,0,0.3518,0,-0.058,-0.6127,0.2927,0.4755
"SNP_A-1786999",0.2843,0,0,0,0,-0.1029,-0.5881,0.2923,0.4599
"SNP_A-2002196",0.324,0,0,0,0,-0.0901,-0.5999,0.2629,0.467
"SNP_A-4268375",-0.3008,0,0,0,0,-0.0787,-0.5759,0.3139,0.4553
"SNP_A-1822309",-0.2762,0,0,0,0,-0.0997,-0.6027,0.2867,0.4785
"SNP_A-8509940",0,0,0,0,0.3987,-0.0764,-0.5856,0.3158,0.4883
"SNP_A-1803862",0,0,0,-0.3929,0,-0.1033,-0.6158,0.286,0.4478
"SNP_A-8299700",-0.2792,0,0,0,0,-0.0957,-0.5956,0.2756,0.4648
"SNP_A-1888920",0.2614,0,0,0,0,-0.0934,-0.5898,0.2746,0.4637
"SNP_A-8545384",-0.2731,0,0,0,0,-0.0864,-0.5678,0.2966,0.4709
"SNP_A-8381513",-0.2866,0,0,0,0,-0.0961,-0.5998,0.2859,0.4717
"SNP_A-2117665",-0.2933,0,0,0,0,-0.102,-0.606,0.288,0.4786
"SNP_A-1809123",0.2789,0,0,0,0,-0.0957,-0.5936,0.2996,0.4745
"SNP_A-4228411",0.3378,0,0,0,0,-0.1022,-0.5887,0.2875,0.4728
"SNP_A-2029301",0.3668,0,0,0,0,-0.0905,-0.5928,0.3204,0.4524
"SNP_A-2002789",0.3684,0,0,0,0,-0.0997,-0.6019,0.2933,0.4654
"SNP_A-8634382",0.3132,0,0,0,0,-0.0768,-0.6218,0.2811,0.4722
"SNP_A-8379953",0.3178,0,0,0,0,-0.0799,-0.6021,0.2751,0.4843
"SNP_A-8301392",0.2846,0,0,0,0,-0.0892,-0.5765,0.3028,0.4749
"SNP_A-1803128",-0.2664,0,0,0,0,-0.0727,-0.5756,0.2974,0.4645
"SNP_A-8698833",-0.2765,0,0,0,0,-0.0836,-0.5855,0.2901,0.4569
"SNP_A-2290658",-0.2709,0,0,0,0,-0.0923,-0.5846,0.3153,0.4756
"SNP_A-8419211",-0.2871,0,0,0,0,-0.0971,-0.5897,0.2821,0.4927
"SNP_A-8557619",0.3177,0,0,0,0,-0.0903,-0.6119,0.2883,0.4565
"SNP_A-1917308",0.3554,0,0,0,0,-0.1074,-0.5894,0.2746,0.4579
"SNP_A-1918155",0.3121,0,0,0,0,-0.0779,-0.596,0.2833,0.4512
"SNP_A-8703035",0.3352,0,0,0,0,-0.0745,-0.5692,0.2966,0.4565
"SNP_A-2245382",0.32,0,0,0,0,-0.1037,-0.5847,0.262,0.4679
"SNP_A-1934867",0.3118,0,0,0,0,-0.0945,-0.6096,0.288,0.4542
"SNP_A-8686596",-0.2939,0,0,0,0,-0.0926,-0.5769,0.2919,0.4568
"SNP_A-1813352",0.2824,0,0,0,0,-0.0914,-0.6101,0.2752,0.4657
"SNP_A-4196202",0.2808,0,0,0,0,-0.0893,-0.5856,0.2758,0.4939
"SNP_A-2159981",0.2671,0,0,0,0,-0.0899,-0.6053,0.2884,0.4494
"SNP_A-2098582",0.3004,0,0,0,0,-0.1009,-0.5893,0.2705,0.4649
"SNP_A-8607834",0.2986,0,0,0,0,-0.0955,-0.5851,0.2887,0.4542
"SNP_A-8656909",0.2664,0,0,0,0,-0.0915,-0.5949,0.2767,0.457
"SNP_A-8677608",0.2824,0,0,0,0,-0.0881,-0.6009,0.2754,0.458
"SNP_A-1933007",0.3071,0,0,0,0,-0.0908,-0.6047,0.2733,0.4612
"SNP_A-2227861",0.3175,0,0,0,0,-0.0908,-0.5944,0.2797,0.4595
"SNP_A-8585032",-0.2904,0,0,0,0,-0.1014,-0.6004,0.2966,0.4951
"SNP_A-8455422",-0.3131,0,0,0,0,-0.0883,-0.5826,0.2812,0.4636
"SNP_A-2170603",0.2509,0,0,0,0,-0.0993,-0.5884,0.297,0.4582
"SNP_A-8483952",-0.2652,0,0,0,0,-0.0982,-0.5732,0.2838,0.4674
"SNP_A-4288519",0.3142,0,0,0,0,-0.1035,-0.582,0.2893,0.4664
"SNP_A-8463163",-0.2779,0,0,0,0,-0.0832,-0.5685,0.2801,0.4754
"SNP_A-8317622",0.2862,0,0,0,0,-0.0926,-0.5836,0.285,0.4661
"SNP_A-2304490",0.2539,0,0,0,0,-0.0907,-0.5836,0.2733,0.4663
"SNP_A-4200597",0.3038,0,0,0,0,-0.1087,-0.605,0.3196,0.487
"SNP_A-8321145",0.2867,0,0,0,0,-0.0817,-0.6154,0.2992,0.4653
"SNP_A-1866849",0,0,0,0,0.3633,-0.1182,-0.5527,0.3136,0.497
"SNP_A-8630334",0,0,0,0,-0.414,-0.0867,-0.6085,0.2985,0.4664
"SNP_A-4220960",0,-0.3344,0,0,0,-0.0886,-0.5863,0.2838,0.4774
"SNP_A-2022867",0,0,0,-0.4165,0,-0.0891,-0.5611,0.2989,0.4786
"SNP_A-2223502",0.3906,0,0,0,0,-0.1079,-0.609,0.3091,0.4505
"SNP_A-8649097",0,0,0,0.3888,0,-0.1104,-0.6025,0.2693,0.4634
"SNP_A-4268854",0,0,0,0.3635,0,-0.0846,-0.6032,0.28,0.462
"SNP_A-1913307",0,0,0,0,-0.3853,-0.0775,-0.6021,0.306,0.4642
"SNP_A-2301597",-0.3909,0,0,0,0,-0.0846,-0.5867,0.2816,0.4856
"SNP_A-2236836",0,0,0,-0.4196,0,-0.0802,-0.5969,0.3263,0.4958
"SNP_A-8398157",0,0,0,-0.4142,0,-0.0663,-0.5869,0.3253,0.4768
"SNP_A-8292763",0,0,0,0.3639,0,-0.0726,-0.587,0.3101,0.4818
"SNP_A-8644957",0,0,0,0,-0.4253,-0.0801,-0.5854,0.2647,0.4678
