"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-2291892",0.7924,0,0,0,0,0,-0.5854,-1.4755,0.6807,-0.9622,1.1431
"SNP_A-8517264",0.7034,0,0,0,0,0,-0.4854,-1.4374,0.7246,-1.0024,1.1684
"SNP_A-8471215",0.7081,0,0,0,0,0,-0.5127,-1.4286,0.6875,-0.9987,1.1876
"SNP_A-8369484",0,1.1695,0,0,0,0,-0.5745,-1.4192,0.6783,-1.0477,1.175
"SNP_A-8647874",0,1.0894,0,0,0,0,-0.6163,-1.5028,0.7186,-0.985,1.1441
"SNP_A-8469638",-0.9062,0,0,0,0,0,-0.5662,-1.4573,0.7395,-1.0401,1.1991
"SNP_A-1885821",0.8001,0,0,0,0,0,-0.5598,-1.4945,0.7078,-0.9835,1.2072
"SNP_A-8595034",0.7881,0,0,0,0,0,-0.5163,-1.4574,0.7676,-1.0453,1.1878
"SNP_A-2040432",0,0,0,0,0,1.2477,-0.5772,-1.4876,0.6731,-0.9972,1.2177
"SNP_A-2278577",0,0,0,0,0,1.0585,-0.6028,-1.4927,0.6457,-1.0067,1.152
"SNP_A-2144966",0.6884,0,0,0,0,0,-0.5795,-1.442,0.7353,-1.0075,1.2109
"SNP_A-1835290",0.7697,0,0,0,0,0,-0.531,-1.4447,0.7247,-0.9782,1.1889
"SNP_A-2248669",0.7692,0,0,0,0,0,-0.4809,-1.4781,0.7228,-1.0055,1.1288
"SNP_A-2169089",0.8501,0,0,0,0,-1.1126,-0.499,-1.4809,0.7426,-0.9943,1.1919
"SNP_A-4228411",0.8676,0,0,0,0,0,-0.5454,-1.428,0.6897,-1.0441,1.2229
"SNP_A-8323474",0,-0.9336,0,0,0,0,-0.512,-1.4021,0.7137,-1.0392,1.1663
"SNP_A-8291658",-1.0908,0,0,0,0,0,-0.5468,-1.4152,0.6632,-1.0514,1.2026
"SNP_A-1863656",0,1.0868,0,0,0,0,-0.5027,-1.4714,0.7201,-0.9922,1.1912
"SNP_A-1920372",0,-1.1843,0,0,0,0,-0.5532,-1.51,0.6968,-0.995,1.1669
"SNP_A-4296615",0,-1.0661,0,0,0,0,-0.551,-1.4857,0.7132,-1.0431,1.1591
"SNP_A-1797603",0,0,0,0,0,-0.9756,-0.5083,-1.49,0.7169,-1.0526,1.2005
"SNP_A-1928942",0,0,0,1.1169,0,0,-0.5123,-1.5276,0.6872,-0.9704,1.1558
"SNP_A-8585079",0,0,0,0,0,1.0552,-0.576,-1.469,0.6762,-1.0134,1.2511
"SNP_A-1866849",0,0,0,0,0,1.2667,-0.5982,-1.3765,0.7375,-1.0368,1.2332
"SNP_A-4214311",0,0,0,1.1572,0,0,-0.5862,-1.4394,0.6999,-0.9693,1.1534
"SNP_A-2220728",0,0,0,1.2689,0,0,-0.5485,-1.4981,0.7039,-0.9675,1.1562
"SNP_A-1879524",0,-1.0502,0,0,0,0,-0.5058,-1.4826,0.7067,-0.9531,1.1391
"SNP_A-2295300",0,0,0,0,0,1.077,-0.5169,-1.4899,0.5944,-1.043,1.2122
"SNP_A-2230966",0,1.1478,0,0,0,0,-0.519,-1.5691,0.6012,-1.0233,1.2125
"SNP_A-2246503",0,1.0873,0,0,0,0,-0.5447,-1.5219,0.6767,-1.0141,1.1686
"SNP_A-8477396",0,1.0897,0,0,0,0,-0.5198,-1.5131,0.6844,-0.9897,1.1664
"SNP_A-2022867",0,0,0,-1.0951,0,0,-0.5604,-1.4441,0.6875,-0.992,1.2331
"SNP_A-8535434",0,0,0,0.9578,0,0,-0.4999,-1.4619,0.6975,-1.0637,1.1978
"SNP_A-8649097",0,0,0,1.1501,0,0,-0.5175,-1.4121,0.6203,-1.0124,1.1104
"SNP_A-2120632",0,0,0,1.2047,0,0,-0.5274,-1.395,0.6916,-1.0185,1.1547
"SNP_A-2242918",0,0,0,1.1554,0,0,-0.4627,-1.4224,0.7148,-1.0058,1.1254
"SNP_A-2005513",0,0,0,-0.8542,0,0,-0.5101,-1.4912,0.6922,-1.0287,1.1717
"SNP_A-4224965",0,0,0,0,0,-1.2179,-0.5243,-1.4311,0.725,-1.0366,1.2206
"SNP_A-8377002",0,0,0,0,0,-1.0539,-0.499,-1.451,0.6878,-1.0601,1.1623
"SNP_A-8471872",0,0,0,0,1.1363,0,-0.5545,-1.3882,0.7945,-0.9465,1.144
"SNP_A-1926786",0,0,0,0,0,1.0818,-0.5641,-1.5033,0.6281,-0.9934,1.1486
"SNP_A-8695418",0,0,0,0,0,1.1521,-0.4904,-1.4226,0.7654,-1.02,1.1188
"SNP_A-8582889",0,0,0,0,0,1.1427,-0.4716,-1.4337,0.6887,-1.0734,1.073
"SNP_A-2059986",0,0,0,1.121,0,0,-0.4783,-1.4543,0.7995,-1.0337,1.1499
"SNP_A-2301597",-1.0619,0,0,0,0,0,-0.5646,-1.4011,0.7224,-1.0223,1.1495
"SNP_A-8630108",0,0,0,-0.9971,0,0,-0.5663,-1.4692,0.7078,-1.0194,1.1419
"SNP_A-8704523",0,0,0,-1.1163,0,0,-0.55,-1.4642,0.7713,-0.9977,1.2333
"SNP_A-2236836",0,0,0,-1.218,0,0,-0.5582,-1.4427,0.8052,-0.9927,1.19
"SNP_A-8398157",0,0,0,-1.1722,0,0,-0.5266,-1.4302,0.8345,-0.9614,1.2421
"SNP_A-8336165",-1.1539,0,0,0,0,0,-0.5956,-1.4683,0.6684,-1.013,1.2447
"SNP_A-8292763",0,0,0,1.1923,0,0,-0.5356,-1.3846,0.8227,-0.9966,1.1835
"SNP_A-4252045",0,0,0,0,0,1.0997,-0.5427,-1.4913,0.6984,-1.0418,1.1019
"SNP_A-8389986",0,0,0,0,0,-1.2162,-0.4998,-1.4274,0.6943,-1.0479,1.2675
"SNP_A-8644957",0,0,0,0,0,-1.2254,-0.5266,-1.4013,0.6102,-1.0162,1.1354
"SNP_A-2227957",0,0,0,0,0,-1.0221,-0.5742,-1.4513,0.7243,-1.0634,1.1324
