"","main","age","act","trans","ceraf","chol","age","act","trans","ceraf","chol"
"SNP_A-8427567",0,0,0,0,0,-0.0018,-0.0269,-0.0185,0.0284,-0.0687,0.0041
"SNP_A-1868131",0,0,0.0109,0,0,0,0.0071,-0.0298,-0.0129,0.0037,-0.0254
"SNP_A-8536553",0,0,0,0.0553,0,0,-0.0285,0.057,-0.0197,-0.0061,-0.0418
"SNP_A-2301597",0.0308,0,0,0,0,0,-0.0675,-0.0429,-0.009,-0.0172,0.0149
"SNP_A-4206884",0,-0.0079,0,0,0,0,0.0513,-0.0555,0.0819,-0.0074,-0.0056
"SNP_A-2233053",0,0,0,-0.0151,0,0,0.0121,-0.0676,0.0221,-0.0474,0.0356
"SNP_A-8368258",0,0,0,-0.0294,0,0,0.0153,-0.0162,-0.0095,-0.0318,-0.0071
"SNP_A-2087010",0,0,0,0.0063,0,0,0.0212,-0.0269,-0.0069,-0.0038,0.0047
"SNP_A-8704523",0,0,0,-0.072,0,0,0.0108,0.0016,0.0137,-0.0084,-0.0155
"SNP_A-2236836",0,0,0,-0.0109,0,0,0.0325,0.0062,-0.0081,-0.0464,0.0307
"SNP_A-8398157",0,0,0,0.0107,0,0,-0.0019,0.0121,0.0124,-0.0038,-0.0016
"SNP_A-8701837",-0.0246,0,0,0,0,0,-0.0168,0.0232,-0.0098,-0.0496,-0.0175
"SNP_A-8396625",-0.0108,0,0,0,0,0,-2e-04,-0.0113,0.0054,0.0119,-0.0241
"SNP_A-8336165",-0.0474,0,0,0,0,0,0.0072,-0.0218,-0.0263,-0.0137,0.0331
"SNP_A-8292049",0,0,0,0.029,0,0,0.0165,0.0052,-0.0366,0.0348,-0.0093
"SNP_A-8425140",0,0,0,-0.0366,0,0,0.0283,-0.0366,-0.0143,-0.0047,0.0118
"SNP_A-4214592",0,0,0,-0.0359,0,0,-0.0207,8e-04,0.045,-0.0283,-0.0084
"SNP_A-2218730",0,0,0,0.0207,0,0,0.0336,-0.0032,0.0098,-0.0511,-0.0059
"SNP_A-1885610",0,0,0,0.0384,0,0,-0.0173,0.019,-0.0624,-0.0446,0.0297
"SNP_A-1843949",0,5e-04,0,0,0,0,0.0188,0.0346,-0.0154,0.0068,0.0558
"SNP_A-4277111",0,0,0,0,0,0.0155,-9e-04,-0.0079,0.0121,-0.0157,-0.0633
"SNP_A-4300197",0,0,0,0,0,-0.0187,0.0263,-0.0019,0.0115,-0.0351,0.0447
"SNP_A-8438401",0,0,0,0,0,-1e-04,0.0148,0.0011,0.0128,0.0056,-0.034
"SNP_A-2212007",0,0,0,0,0,0.0051,-0.005,0.0333,-0.0233,-0.0271,0.0034
"SNP_A-2054861",0,-0.0685,0,0,0,-0.0177,0.0759,-0.034,-0.0105,0.0549,-0.016
"SNP_A-2273425",0,0,0,0,0,0.011,-0.0232,0.0139,0.016,-0.0314,-0.0054
"SNP_A-8644957",0,0,0,0,0,0.0064,0.0523,0.0021,-0.0101,-0.0149,-0.0307
