"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"36","LINC00707","rs10904966",0,0,0,0,0.314,0,-0.1493,-0.7325,0.2884,-0.3562,0.5577
"37","LINC00837","rs3740000",0.3588,0,0,0,0,0,-0.14,-0.7524,0.2873,-0.38,0.5457
"38","GPR158","rs10508694",0,0,0,0.3303,0,0,-0.14,-0.7332,0.2795,-0.3833,0.5499
"39","CAMK1D","rs1929389",0,0.303,0,0,0,0,-0.1434,-0.7466,0.2995,-0.3878,0.5609
"40","CAMK1D","rs1929388",0,0.2942,0,0,0,0,-0.1434,-0.7597,0.269,-0.3925,0.5482
"41","FAM171A1","rs10508486",0,0,0.286,0,0,0,-0.147,-0.7349,0.2847,-0.3999,0.5778
"42","CELF2","rs17453876",0,-0.2937,0,0,0,0,-0.1432,-0.7288,0.291,-0.3968,0.5498
"43","RP11-482E14.2","rs11252062",0,0,0,0,0,-0.2884,-0.1383,-0.7368,0.2877,-0.3986,0.5412
"44","RP11-138I18.1","rs7101132",0,0.2677,0,0,0,0,-0.1508,-0.7613,0.2916,-0.3889,0.5693
"45","FRMD4A","rs998150",-0.3122,0,0,0,0,0,-0.1615,-0.7439,0.271,-0.4093,0.5593
"46","SVIL","rs1927456",0,0,0,0,-0.299,0,-0.1453,-0.7362,0.2778,-0.3645,0.54
"47","NAMPTL","rs3006958",0.3008,0,0,0,0,0,-0.1335,-0.7294,0.2864,-0.4051,0.5411
"48","ADARB2","rs2813400",0,0,0,0,0,0.3096,-0.1459,-0.741,0.2981,-0.3782,0.585
"49","CAMK1D","rs7921813",0,0.3342,0,0,0,0,-0.1403,-0.7342,0.2855,-0.3955,0.5624
"50","RP1-251M9.2","rs201099",0,0,0,0,0,-0.2836,-0.147,-0.7448,0.2828,-0.3836,0.57
"51","ANK3","rs10821746",0,0,0,-0.3219,0,0,-0.1337,-0.7462,0.283,-0.4007,0.5565
"52","RP11-543F8.3","rs10795651",0,0,0,0.309,0,0,-0.1504,-0.7468,0.2928,-0.3864,0.5506
"53","RP11-319F12.2","rs1539513",0,0,0,0,-0.3061,0,-0.1508,-0.7587,0.2654,-0.4178,0.5556
"54","GAPDHP45","rs7099479",0.3022,0,0,0,0,0,-0.1611,-0.736,0.3008,-0.3854,0.5654
"55","RP11-550A9.1","rs4935167",0,0,0,0,-0.2903,0,-0.1381,-0.7524,0.2844,-0.3422,0.5637
"56","CELF2","rs4750039",0,-0.3253,0,0,0,0,-0.1517,-0.7321,0.2819,-0.4066,0.55
"57","FAM107B","rs1555986",-0.3025,0,0,0,0,0,-0.1457,-0.7329,0.2845,-0.3936,0.5677
"58","PRTFDC1","rs4748991",-0.3283,0,0,0,0,0,-0.1422,-0.7369,0.279,-0.394,0.5489
"59","RP11-170M17.1","rs4745829",0,0,0,-0.3035,0,0,-0.1474,-0.7324,0.2904,-0.3988,0.5351
"60","CELF2","rs201113",0,0,0,0,0,-0.3218,-0.1399,-0.7308,0.287,-0.3877,0.5476
"61","CAMK1D","rs11257932",0,0.3367,0,0,0,0,-0.1192,-0.759,0.2634,-0.4056,0.5559
"62","FAM171A1","rs11597589",0,0,-0.3698,0,0,0,-0.152,-0.7489,0.2966,-0.3823,0.5706
"63","FAM171A1","rs11599813",0,0,-0.328,0,0,0,-0.1429,-0.7539,0.2906,-0.3823,0.5629
"64","FAM171A1","rs11597485",0,0,-0.3654,0,0,0,-0.1428,-0.7597,0.2983,-0.3913,0.5603
"65","RP11-492M23.2","rs2796304",0,0.3288,0,0,0,0,-0.1452,-0.7399,0.3016,-0.4009,0.553
"66","CAMK1D","rs11257933",0,0.3814,0,0,0,0,-0.1266,-0.7458,0.2769,-0.3998,0.5604
"67","FAM107B","rs4748109",-0.3095,0,0,0,0,0,-0.1407,-0.7543,0.2757,-0.3952,0.5528
"68","UBE2V2P1","rs10826899",0,0,0,0,-0.3413,0,-0.1567,-0.743,0.2669,-0.3935,0.553
"69","UBE2V2P1","rs11592473",0,0,0,0,-0.3394,0,-0.1567,-0.7435,0.2611,-0.3836,0.5457
"70","OR13A1","rs12764778",0,0.2953,0,0,0,0,-0.1554,-0.7312,0.2958,-0.3882,0.5603
"71","PCDH15","rs1930170",0,0,0,0,0,0.3107,-0.1407,-0.7383,0.2869,-0.401,0.5632
"72","KIAA1462","rs11007904",0,0,0,0.3298,0,0,-0.1478,-0.7379,0.2717,-0.3977,0.5503
"73","GPR158","rs12762462",0,0,0,0.3057,0,0,-0.1351,-0.7268,0.2854,-0.3845,0.5391
"74","JMJD1C","rs10733789",0,0,0,0,0,0.2882,-0.1331,-0.7342,0.289,-0.3919,0.563
"75","MIR3924","rs1011763",0,0,0,0,0.3441,0,-0.1524,-0.7257,0.2946,-0.3591,0.5591
"76","DCLRE1CP1","rs6602809",0.2963,0,0,0,0,0,-0.1554,-0.7401,0.2749,-0.3885,0.5429
"77","PCDH15","rs11004318",0,-0.3224,0,0,0,0,-0.1569,-0.7472,0.2926,-0.3853,0.5828
"78","CCDC3","rs7076027",0,0,0.3105,0,0,0,-0.1388,-0.7457,0.3008,-0.3894,0.5604
"79","THNSL1","rs923757",0,0,0,0,0,0.2823,-0.1594,-0.7277,0.283,-0.392,0.5447
"80","RP11-799O21.2","rs2804143",0.3203,0,0,0,0,0,-0.1494,-0.7506,0.2886,-0.3897,0.5738
"81","ACBD7","rs6602806",0.3337,0,0,0,0,0,-0.162,-0.7322,0.2639,-0.3958,0.5446
"82","DCLRE1CP1","rs6602806",0.3337,0,0,0,0,0,-0.162,-0.7322,0.2639,-0.3958,0.5446
"83","RP11-478B11.2","rs10825621",0,-0.338,0,0,0,0,-0.1376,-0.7364,0.2647,-0.3981,0.5702
"84","RP11-490O24.2","rs224699",0,-0.3661,0,0,0,0,-0.1417,-0.7259,0.2856,-0.3867,0.5478
