"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"31","RP11-428L9.2","rs1001019",0,0,0,0,0,-0.0204,-0.0347,-0.059,0.0847,-0.0844,-0.1655
"32","RP11-478B11.2","rs11005091",-0.0375,0,0,0,0,0,0.0248,-0.0976,-0.0407,-0.0138,0.0339
"33","IL2RA","rs10905656",-0.1127,0,0,0,0,0,0.0217,-0.0573,-0.0024,-0.2035,0.0202
"34","KIAA1217","rs10828584",0.0482,0,0,0,0,0,-0.0136,-0.033,-0.0497,-0.1002,0.0851
"35","IL2RA","rs791587",0.0066,0,0,0,0,0,-0.0146,-0.0383,-0.0136,0.0136,0.0193
"36","RP11-526P5.2","rs1537616",-0.0218,0,0,0,0,0,0.0101,-0.0789,0.0873,-0.1206,-0.0387
"37","KIAA1462","rs17295031",0,0,0,-0.0371,0,0,-0.0114,-0.0189,0.0226,-0.0603,0.0894
"38","RP11-271F18.4","rs10905778",0,0,0,0,0,0.0133,0.028,0.003,0.0087,-0.0187,-0.0394
"39","DIP2C","rs10904498",0,-0.0731,0,0,0,0,0.0052,-0.0903,-0.025,-0.1615,0.1038
"40","RP11-492M23.2","rs2532759",0,-0.0319,0,0,0,0,0.0443,-0.1782,-0.0483,-0.0688,0.013
"41","SNRPEP8","rs7093161",-0.0758,0.0347,0,0,0,0.0039,-0.0224,-0.0255,-0.0547,-0.0175,-0.0418
"42","LINC00707","rs11254686",0,0,-0.0782,0,0,0,-0.0331,-0.1331,0.0014,-0.1134,0.068
"43","LINC00707","rs11254802",0,0,-0.1202,0,0,0,0.0354,-0.0587,0.0393,-0.0325,0.0158
"44","RP11-482E14.2","rs17226417",0.0397,0,0,0,0,0,0.0221,-0.0793,-0.0158,-0.0861,-0.1027
"45","IL2RA","rs4749926",-0.025,0,0,0,0,-0.0376,0.0128,-0.1298,0.018,-0.0819,0.0103
"46","RP11-71J2.1","rs1198119",0,-0.0784,0,0,0,0,-0.086,-0.058,0.0694,-0.0047,0.0309
"47","RP11-170M17.1","rs1916409",0,0,0,0.0599,0,0,0.0506,-0.146,-0.0692,-0.1033,-0.0035
"48","RP11-170M17.1","rs1916409",0,0,0,0.0599,0,0,0.0506,-0.146,-0.0692,-0.1033,-0.0035
"49","MALRD1","rs2803834",0,-0.0535,0,0,0,0,-0.0974,-0.0443,-0.0219,-0.0045,0.0147
"50","MALRD1","rs2245456",0,0.0274,0,0,0,0,0.0091,-0.0196,0.0099,-0.1278,-0.0924
"51","CELF2","rs17454012",0,-0.0432,0,0,0,0,0.017,-0.0515,-0.0171,-0.1268,0.0726
"52","RP11-526P5.2","rs7922357",-0.0537,0,0,0,0,0,-0.0584,-0.0504,-0.1037,-0.0704,0.0846
"53","FRMD4A","rs2446588",0,0.0786,0,0,0,0,0.0788,-0.0087,0.005,0.0233,0.0511
"54","PRKCQ","rs7083579",0.1242,0,0,0,0,0,0.0126,-0.147,-0.0082,-0.0825,-0.0597
"55","THNSL1","rs1492607",0,0,0,0,0,-0.081,-0.0395,0.0068,0.0021,-0.0857,0.0966
"56","LINC00837","rs3740000",0.0231,0,0,0,0,0,-0.0719,-0.1249,0.0438,-0.0568,-0.0323
"57","RP11-526P5.2","rs17158961",-0.0168,0,0,0,0,0,0.068,-0.039,-0.0116,-0.0589,-0.0383
"58","GPR158","rs1340002",0,0,0,-0.0097,0,0,0.0571,-0.129,0.0305,-0.1748,-0.0706
"59","ZNF485","rs10793451",0,0,0,0.0493,0,0,0.0552,-0.0143,0.1126,5e-04,0.055
"60","A1CF","rs4245017",0,0,-0.024,0,0,0,0.0799,-0.1253,0.0258,-0.0987,-0.0615
"61","NAMPTL","rs3006958",0,0,0,0,0,0.0426,-0.029,-0.1419,-0.008,-0.0984,-0.0066
"62","KIAA1462","rs4749527",0,0,0,-0.0283,0,0,0.0041,-0.0279,0.0487,-0.1183,0.0032
"63","THNSL1","rs902904",0,0,0,0,0,-0.1001,0.0209,-0.024,-0.0113,-0.0823,0.0195
"64","CAMK1D","rs7921813",0,-0.0398,0,0,0,0,0.004,-0.0489,-0.0757,-0.0256,-0.0434
"65","RP11-319F12.2","rs1539513",0,0,0,0,-0.0757,0,0.0569,-0.2006,-0.0601,-0.1517,-0.0267
"66","RP11-492M23.2","rs2804551",0.0076,0,0,0,0,0,-0.0434,-0.0606,-7e-04,-0.0801,-0.0235
"67","CELF2","rs12266433",0,0.0615,0,0,0,0,0.0196,-0.0726,0.0247,-0.0775,-0.0308
"68","CELF2","rs4750039",0,0.0192,0,0,0,0,-0.014,-0.2468,0.1059,-0.1559,-9e-04
"69","RP11-170M17.1","rs4745829",0,0,0,0.0044,0,0,-0.0556,-0.117,-0.0436,-0.1412,0.0292
"70","PRKG1","rs10995831",0,0,0,0,-0.0796,0,-0.0047,-0.0737,4e-04,-0.1194,-0.0734
"71","DIP2C","rs11252791",0.0151,0,0,0,0,0,0.0554,-0.12,-0.0135,-0.1633,0.0195
"72","THNSL1","rs12256642",0,0,0,0,0,0.0645,-0.0183,-0.0673,-2e-04,-0.1498,-0.004
"73","PCDH15","rs2799038",0,0,0,0.0091,0,0,-0.0213,-0.0158,-0.0441,-0.1228,0.0052
"74","UBE2V2P1","rs10826899",0,0,0,0,-0.022,0,0.03,0.0302,0.1012,-0.1192,-0.0158
"75","UBE2V2P1","rs11592473",0,0,0,0,-0.0287,0,0.0154,-0.0521,0.1227,-0.1421,-0.0183
"76","OR13A1","rs12764778",0,0.0542,0,0,0,0,0.112,-0.1108,0.002,-0.1373,-0.0031
"77","ZNF101P1","rs4595437",-0.0711,0,0,0,0,0,-0.0089,-0.151,0.0195,-0.1262,0.0049
"78","KIAA1462","rs11007904",0,0,0,0.0083,0,0,-0.003,-0.0673,-0.081,-0.0801,0.0172
"79","MIR3924","rs1011763",0,0,0,0,0.0825,0,0.0286,-0.047,0.0227,-0.182,0.0016
"80","CALML3","rs9423658",0.0097,0,0,0,0,0,-0.0275,-0.0032,0.0404,-0.1415,0.0054
"81","DCLRE1CP1","rs6602809",-0.0458,0,0,0,0,0,-0.048,-0.0306,-0.0357,-0.139,0.0552
"82","RP11-575N15.1","rs2025758",0,-0.0294,0,0,0,0,0.0193,-0.0718,0.0014,-0.0673,-0.1205
"83","KIAA1217","rs16924739",0,0,0,-0.0159,0,0,0.0463,-0.1224,0.0049,-0.0819,0.0599
"84","THNSL1","rs923757",0,0,0,0,0,0.0085,-0.0434,-0.0029,-0.0528,-0.1011,0.0089
"85","RP11-526P5.2","rs7092368",0,0,0,0,0,-0.0879,-0.0586,-0.0522,0.035,-0.0812,-0.0464
"86","RP11-490O24.2","rs224699",0,-0.1217,0,0,0,0,0.0349,-0.0321,-0.0199,-0.1785,-0.0051
"87","KIAA1217","rs7083349",0.0552,0,0,0,0,0,-0.046,-0.0723,-0.0578,-0.134,0.0108
