"","gene_name","rsID","main","age","act","trans","ceraf","chol","age.1","act.1","trans.1","ceraf.1","chol.1"
"51","RP11-478B11.2","rs4372368",0,-0.0449,0,0,0,0,0.0828,-0.0087,-0.0494,-0.0747,0.0162
"52","RP11-170M17.1","rs1916420",0,0,0,0.0885,0,0,0.0569,-0.0187,-0.0292,-0.1166,0.0303
"53","FRMD4A","rs2446588",0,-0.0142,0,0,0,0,0.0941,-0.2098,0.1079,0.0013,-0.0908
"54","RP11-170M17.1","rs10995687",0,0,0,0.1065,0,0,0.0302,-0.1001,0.0514,-0.1267,-0.0108
"55","RP11-192P3.5","rs161279",0,0,0,0.0333,0,0,0.0264,-0.0875,0.0075,-0.1344,-0.0113
"56","ZEB1","rs161279",0,0,0,0.0333,0,0,0.0264,-0.0875,0.0075,-0.1344,-0.0113
"57","ZEB1","rs161258",0,0,0,0.0362,0,0,0.0081,-0.0366,0.0462,-0.0762,0.0662
"58","TMEM26","rs10509149",0,0,0,0,0,-0.0428,0.0081,-0.0537,0.0749,-0.1099,-0.0421
"59","LINC00837","rs3740000",-0.106,0,0,0,0,0,-0.052,-0.122,-0.0236,-0.0907,-0.0167
"60","ZNF365","rs17314489",0,0.1543,0,0,0,0,0.0245,-0.0561,0.0475,0.0091,0.0058
"61","CELF2","rs17453876",0,0.0518,0,0,0,0,-0.0329,-0.087,0.0724,-0.0453,0.0397
"62","ZNF485","rs10793451",0,0,0,-0.1028,0,0,-0.0838,-0.0224,0.0333,-0.0488,0.0285
"63","KIAA1462","rs4749527",0,0,0,0.0093,0,0,0.0254,-0.056,-0.0643,-0.1205,0.0561
"64","SEPHS1","rs12570207",0,-0.0329,0,0,0,0,-0.0318,-0.1094,-0.0578,-0.0918,0.0464
"65","THNSL1","rs902904",0,0,0,0,0,-0.0885,-0.0152,-0.0639,0.0384,-0.1522,0.127
"66","CAMK1D","rs7921813",0,0.0063,0,0,0,0,-0.0076,-0.0173,-0.0157,-0.1491,-0.0968
"67","SNRPEP8","rs10218945",0,0,0,0,0,-0.0351,-0.0572,-0.1461,0.0049,-0.1041,-0.1273
"68","RP11-492M23.2","rs2804551",0.0616,0,0,0,0,0,0.0323,0.0483,-0.0032,-0.1447,0.0274
"69","CELF2","rs12266433",0,-0.0301,0,0,0,0,0.0243,0.0163,0.0361,-0.1275,-0.0212
"70","PLXDC2","rs16919385",0,0,0,0,0,0.0112,-0.0454,-0.081,-0.0142,-0.0717,-0.0387
"71","CELF2","rs4750039",0,0.0333,0,0,0,0,0.0178,-0.014,-0.0706,-0.1156,0.0339
"72","KIAA1217","rs12249964",0,0,0,0,0,0.0607,-0.0548,-0.093,-0.021,3e-04,0.0963
"73","RP11-170M17.1","rs4745829",0,0,0,-0.0252,0,0,0.0187,-0.0921,-0.0573,-0.075,-0.0052
"74","CAMK1D","rs11257932",0,0.0256,0,0,0,0,0.0082,-0.0385,-0.0431,-0.1086,-0.0858
"75","RP11-810B23.1","rs10827602",0,0,0.0167,0,0,0,-0.0625,-0.1846,0.0282,-0.0696,0.0579
"76","RP11-526P5.2","rs7081466",0,0,0,0,0.0267,0,-0.071,0.0279,-0.0011,-0.1537,-0.0057
"77","THNSL1","rs12256642",0,0,0,0,0,-0.0258,-0.0087,-0.0701,-0.0776,-0.0232,-0.0659
"78","RP11-492M23.2","rs2796304",0,0.0875,0,0,0,0,-0.0838,-0.1388,-0.0624,-0.0502,0.0156
"79","ZEB1","rs10826964",0,0,0,0.0316,0,0,-0.0447,-0.0764,-0.0308,-0.0909,-0.0272
"80","CAMK1D","rs11257933",0,0.0547,0,0,0,0,0.0559,-0.0852,-0.0286,-0.0515,0.0353
"81","MIR5100","rs17432532",0,0,0,0,0,0.017,-0.0643,-0.0653,0.049,-0.0868,-0.0421
"82","UBE2V2P1","rs10826899",0,0,0,0,-0.0234,0,-0.0142,-0.0831,-0.0585,-0.1606,-0.0026
"83","UBE2V2P1","rs11592473",0,0,0,0,-0.0642,0,0.0283,-0.116,0.059,-0.108,-0.0316
"84","OR13A1","rs12764778",0,0.0263,0,0,0,0,-0.1229,-0.087,0.0324,-0.0466,0.0738
"85","GPR158","rs12762462",0,0,0,-0.0153,0,0,-0.0396,-0.0102,-0.075,-0.0633,0.0397
"86","MIR3924","rs1011763",0,0,0,0,0.1871,0,-0.0686,-0.0577,0.0246,-0.148,-0.0981
"87","RP11-170M17.1","rs1916450",0,0,0,-0.1767,0,0,0.0375,-0.089,0.0204,-0.0783,0.0509
"88","CHAT","rs1917814",0,0,0,0,-0.0194,0,0.0011,-0.0229,-0.0345,-0.0919,0.0084
"89","DCLRE1CP1","rs6602809",0.0043,0,0,0,0,0,0.0393,-0.0744,-0.035,0.0132,-0.079
"90","THNSL1","rs923757",0,0,0,0,0,0.0226,-0.0627,-4e-04,0.0388,-0.0794,0.029
"91","RP11-526P5.2","rs7092368",0,0,0,0,-0.0531,0,-0.017,-0.0622,0.0231,-0.1383,0.0169
"92","DCLRE1CP1","rs6602806",0.0527,0,0,0,0,0,0.0018,-0.1128,-0.0189,-0.0389,0.0218
"93","ACBD7","rs6602806",0.0527,0,0,0,0,0,0.0018,-0.1128,-0.0189,-0.0389,0.0218
"94","ANK3","rs10994308",0,0,0,0,0,-0.0124,0.0143,-0.0898,0.1016,-0.0371,-0.0363
"95","RP11-490O24.2","rs224699",0,-0.0351,0,0,0,0,0.0906,-0.0983,0.0676,-0.0713,0.0675
"96","KIAA1217","rs7083349",-0.0651,0,0,0,0,0,-5e-04,-0.0359,-0.0294,-0.0967,-0.0427
"97","RNU6-632P","rs10828905",0,-0.0799,0,0,0,0,0.0692,-0.0929,0.0478,-0.0631,0.0143
